Account,Date From,Date To,Bag Count,Vendor Name,City,State,Zip code
47,2012-08-01,2012-08-31,971,LEBANESE TAVERNA CAFE-CONGRESSIONAL INC,Rockville,MD,20852
1125,2016-07-01,2016-07-31,2477,Rals Subway Metro Inc,,MD,20170
365,2012-08-31,2012-10-31,3159,GENERAL NUTRITION CORPORATION,,PA,15222
631,2012-09-17,2012-10-20,531,Jerry's Subs & Pizza,Olney,MD,20832
496,2016-02-01,2016-02-29,322,SMSI INC.,Gaithersburg,MD,20877
452,2013-01-01,2013-01-31,525,"Hessed Deli, Inc. (TS Grill)",Silver Spring,MD,20910
442,2016-02-01,2016-02-29,1878,CY Associates Inc,Rockville,MD,20852
434,2016-09-01,2016-09-30,1763,"OFFICE DEPOT, INC.",,FL,33496
755,2013-11-11,2013-12-31,6385,"B. A. Ham, Inc.",Gaithersburg,MD,20877
621,2016-03-01,2016-03-31,25,Comfort One Shoes L-31,Bethesda,MD,20814
353,2015-08-01,2015-08-31,415,"CT Potomac, LLC",Rockville,MD,20850
846,2014-01-01,2014-01-31,243,Leila Fine Gifts and Jewels,Potomac,MD,20854
218,2015-10-04,2015-10-31,10567,"Michaels Stores, Inc.",,TX,75063
202,2016-08-01,2016-08-31,532,Jill Acquisition LLC,,MA,2169
56,2013-01-01,2013-04-30,1038,"Tiara Gifts, Inc",Rockville,MD,20852
391,2012-07-01,2012-07-31,6364,"MORAZAN GROCERY II, INC.",Gaithersburg,MD,20877
1079,2013-09-01,2013-09-30,687,Asian Bakery Inc,Rockville,MD,20850
1098,2013-11-01,2013-11-30,1608,Genesco Inc.,,TN,37217
174,2012-11-01,2012-11-30,2575,Party City - Rockville Inc.,Rockville,MD,20852
523,2013-05-01,2013-05-31,49218,"FOR MY CHILDREN, INC.",Gaithersburg,MD,20877
186,2015-05-01,2015-05-31,3627,subwaywhiteoak,Silver Spring,MD,20904
224,2012-10-28,2012-11-24,5336,The Childrens Place Retail Stores Inc,,NJ,7094
47,2016-08-01,2016-08-31,817,LEBANESE TAVERNA CAFE-CONGRESSIONAL INC,Rockville,MD,20852
23,2012-01-29,2012-02-25,2806,"Rugged Wearhouse, Inc",,WV,26508
76,2012-08-01,2012-08-31,322,Luna,,NC,28134
391,2012-12-01,2012-12-31,5464,"MORAZAN GROCERY II, INC.",Gaithersburg,MD,20877
396,2013-09-01,2013-09-30,20789,"Green Castle International, Inc.",Silver Spring,MD,20901
1278,2016-07-01,2016-07-31,216,New York Deli Inc,Rockville,MD,20850
904,2016-07-01,2016-07-31,279,Brooklyns Deli Potomac LLC,Potomac,MD,20854
841,2012-06-30,2012-08-31,2855,"Pier 1 Imports (U.S.), Inc",,TX,76102
1128,2013-11-01,2013-11-30,94,JIRIKDJIAN INC,Boyds,MD,20841
1202,2015-11-01,2015-11-30,1416,"Cityburger, Inc.",Chevy Chase,MD,20815
530,2014-07-01,2014-07-31,1324,LA CASITA PARTNERS CORPORATION,Germantown,MD,20874
955,2014-01-01,2014-01-31,7437,Dawsons Market,Rockville,MD,20850
47,2014-08-01,2014-08-31,1061,LEBANESE TAVERNA CAFE-CONGRESSIONAL INC,Rockville,MD,20852
346,2016-03-01,2016-03-31,173,"Woodmont, Inc.",Rockville,MD,20850
1041,2013-12-01,2013-12-31,1428,MICKY'S RESTAURANT,Gaithersburg,MD,20877
661,2013-04-01,2013-04-30,201,SOL AZTECA RESTAURANT INC.,Olney,MD,20832
255,2014-06-01,2014-06-30,405,Luvandy Nara Inc,Gaithersburg,MD,20879
100,2015-04-01,2015-04-30,1364,"Nespresso USA, Inc",,NY,10017
150,2015-02-01,2015-02-28,956,"SODEXO MANAGEMENT, INC.",Gaithersburg,MD,20878
535,2014-08-01,2014-08-31,1182,"Mustard Seed Recycling Co., Inc.",Bethesda,MD,20814
661,2016-01-01,2016-01-31,492,SOL AZTECA RESTAURANT INC.,Olney,MD,20832
496,2014-05-01,2014-05-31,216,SMSI INC.,Gaithersburg,MD,20877
517,2016-09-01,2106-09-30,2207,BSBB LTD,Silver Spring,MD,20901
398,2012-03-01,2012-03-31,65,JJHT LLC,Chevy Chase,MD,20815
957,2012-11-01,2012-11-30,4411,Lowe's Home Centers,,NC,28117
73,2014-03-01,2014-03-31,54806,"Macy's Retail Holdings, Inc.",,OH,45202
142,2015-02-01,2015-02-28,1191,"MODELL'S MARYLAND II, INC.",,NY,10018
243,2012-02-01,2012-02-29,1163,Aspen Hill Sub Shop,Silver Spring,MD,20906
696,2013-03-31,2013-07-18,1204,PENZEYS SPICES,,WI,53045
402,2012-12-30,2013-03-02,5213,"CHARLOTTE RUSSE, INC",,CA,92121
181,2012-07-01,2012-08-31,198,Jerrys Subs & Pizza,Kensington,MD,20895
850,2015-09-01,2015-09-30,206,Kensington Pharmacy,Kensington,MD,20895
314,2013-04-01,2013-04-30,561637,"Safeway, Inc.",,AZ,85027
499,2016-01-01,2016-01-31,2931,"KUMAR ENTERPRISES, INC.",Boyds,MD,20841
108,2015-12-01,2016-05-31,4835,Montgomery Ice Corp.,Bethesda,MD,20816
309,2013-06-28,2013-07-27,1314,SHIVAM ENTERPRISES LLC,Silver Spring,MD,20906
1247,2015-11-01,2015-11-30,3203,JAAT INC,Potomac,MD,20854
49,2016-03-28,2016-04-24,37255,"H MART GAITHERSBURG, INC.",Gaithersburg,MD,20877
456,2013-07-01,2013-07-31,574,Jen's Corporation,Rockville,MD,20850
484,2012-09-01,2012-09-30,375,KCMZ Inc,Silver Spring,MD,20902
479,2016-06-01,2016-07-31,6013,LA MART INC,Silver Spring,MD,20901
679,2016-04-01,2016-06-30,125,"Carpat,Inc. DBA Burnt Mills Sunoco",Silver Spring,MD,20901
754,2016-09-01,2016-09-30,1,Chevy Chase Club Inc.,Chevy Chase,MD,20815
204,2015-06-01,2015-06-30,4336,Eckerd Corporation,,PA,17319
1271,2016-07-01,2016-07-31,2032,HARI OM MANAGEMENT LLC,Germantown,MD,20874
297,2013-07-01,2013-07-31,29271,"Germantown Lotte, LLC",Germantown,MD,20874
248,2012-05-01,2012-05-31,21,"Equinox Bethesda, Inc.",Bethesda,MD,20814
954,2016-01-01,2016-01-31,384,China Master Inc,Rockville,MD,20850
249,2015-05-31,2015-07-04,447,"Madewell, Inc.",,NY,10003
47,2013-01-01,2013-01-31,1073,LEBANESE TAVERNA CAFE-CONGRESSIONAL INC,Rockville,MD,20852
155,2013-05-01,2013-05-31,7073,"HomeGoods, Inc",,MA,1701
671,2012-01-01,2012-08-31,1608,"Town Center Mapp, LLC",Germantown,MD,20874
246,2013-05-01,2013-05-31,1666,"May Enterprises, Inc. (dba Subway)",Gaithersburg,MD,20877
1088,2014-01-01,2014-07-30,397,CHIMYKE CORP.,Silver Spring,MD,20904
774,2014-07-18,2015-02-25,1758,rudiya llc,Poolesville,MD,20837
254,2016-05-01,2016-05-31,1819,Micro Center Sales Corporation,,OH,43026
575,2013-09-01,2013-09-30,481,"Bluemercury, Inc.",,DC,20007
429,2015-10-01,2015-10-31,10659,Rodmans Discount Food,Silver Spring,MD,20906
458,2014-01-01,2014-01-31,474,Peter's Sub Shop,Takoma Park,MD,20912
435,2016-05-01,2016-05-31,195,"DALISSON,LLC",Silver Spring,MD,20910
177,2013-02-01,2013-02-28,77,greenapple convenience store inc.,Silver Spring,MD,20904
368,2012-12-01,2012-12-31,15892,Dave  West  Indian Product  Corp DBA The  Caribbean Market,Takoma Park,MD,20912
1092,2013-07-01,2013-08-31,45,Yuzu,Bethesda,MD,20814
1172,2014-10-01,2014-10-31,742,M&M CALCAGNO LLC DBA GEMELLI'S ITALIAN MARKET,Gaithersburg,MD,20878
866,2012-01-01,2012-06-30,2583,Washington Bagel Company,Rockville,MD,20852
626,2012-03-01,2012-03-31,1941,nta inc.,Silver Spring,MD,20901
552,2015-02-01,2015-02-28,1288,"Chico's FAS, Inc.",,FL,33966
118,2016-06-01,2016-06-30,2635,"Adad, LLC",Rockville,MD,20852
866,2013-11-01,2013-12-31,1293,Washington Bagel Company,Rockville,MD,20852
309,2015-11-28,2015-12-27,977,SHIVAM ENTERPRISES LLC,Silver Spring,MD,20906
508,2015-09-01,2015-09-30,353,"FAAN, INC.",Silver Spring,MD,20910
30,2012-06-01,2012-06-30,489,LUSH HANDMADE COSMETICS,,MD,0
1147,2014-01-01,2014-01-31,228,cana beer and wine inc,Germantown,MD,20874
430,2012-04-30,2012-05-31,253,OPH II Inc,Rockville,MD,20852
1084,2014-01-01,2014-02-28,148,Airpark Petro LLC,Gaithersburg,MD,20879
513,2012-02-01,2012-05-31,3119,7-11 #28838,Silver Spring,MD,20904
1130,2015-12-01,2015-12-31,1197,Bold Bite,Bethesda,MD,20814
409,2015-12-01,2015-12-31,1645,Muhn Inc,Silver Spring,MD,20906
320,2013-02-01,2013-02-28,616,Sunwoo Corporation,Silver Spring,MD,20904
552,2016-08-01,2016-08-31,1737,"Chico's FAS, Inc.",,FL,33966
878,2015-08-01,2015-08-31,1123,Y S Enterprise Inc,Rockville,MD,20850
765,2013-06-01,2013-06-30,3416,"Chevy Chase Marketing, Inc",Chevy Chase,MD,20815
49,2012-03-01,2012-03-31,26513,"H MART GAITHERSBURG, INC.",Gaithersburg,MD,20877
685,2012-01-01,2012-05-31,3347,Jetta Chinese Restaurants Inc.,Olney,MD,20832
219,2014-08-01,2014-08-31,17338,"Shalom Strictly Kosher Meats, Inc.",Silver Spring,MD,20902
522,2014-11-01,2014-11-30,102521,DOS FRIENDS INC.,Silver Spring,MD,20903
417,2015-08-01,2015-08-31,4644,ASADO MD,Rockville,MD,20852
1203,2015-01-01,2015-01-31,318,Ismet's Market LLC,Germantown,MD,20874
402,2015-08-30,2015-10-03,3537,"CHARLOTTE RUSSE, INC",,CA,92121
493,2013-10-06,2013-11-02,1163,Francesca's Collections,,TX,77080
1298,2016-07-01,2016-07-31,6783,GAITHERSBURG SUPERMARKET INC,Gaithersburg,MD,20877
1181,2014-11-01,2014-11-30,1893,"CT Bethesda, LLC",Bethesda,MD,20814
173,2012-12-31,2013-02-23,2306,Recreational Equipment Inc,,WA,98032
474,2015-12-01,2015-12-31,507,Lin and Yin Inc,Gaithersburg,MD,20878
184,2014-12-01,2014-12-31,359,Yasaman Bakery,Rockville,MD,20852
304,2015-06-01,2015-09-30,343,Posz Inc t/a Bradley dRUGS,Bethesda,MD,20814
680,2013-07-01,2013-07-31,617,Brian D Summers dba Chick-fil-A at Kentlands Square In-Line,,GA,30349
218,2012-08-01,2012-08-31,7979,"Michaels Stores, Inc.",,TX,75063
514,2015-05-01,2015-05-31,544,E & C Enterprises MD709,,VA,22192
182,2013-08-01,2013-08-31,1337,PHO & GRILL,Gaithersburg,MD,20882
223,2013-04-01,2013-04-30,16828,Sears Roebuck & Co,,IL,60179
155,2015-10-01,2015-10-31,8976,"HomeGoods, Inc",,MA,1701
737,2014-09-01,2014-09-30,6135,"Payless ShoeSource, Inc.",,KS,66607
776,2015-10-01,2015-10-31,170142,Target Corporation,,MN,55403
1245,2015-04-01,2015-06-30,1688,Sushi Train LLC,Rockville,MD,20850
764,2014-12-01,2014-12-31,20123,BED BATH AND  BEYOND INC,,NJ,7083
